sn,symbol,ltp,point change,change,open,high,low,volume,close
105,KDBY,8.26,-0.07,-0.84,8.17,8.38,8.03,"8,500.00",8.33
106,KDL,881.00,-9.00,-1.01,895.00,905.00,870.20,"9,929.00",890.00
107,KEF,8.35,-0.49,-5.54,8.67,8.67,8.35,"26,150.00",8.84
108,KKHC,215.40,-2.10,-0.97,221.80,222.90,206.00,"25,737.00",217.50
109,KLBSL,806.00,-0.10,-0.01,822.20,822.20,806.00,"1,080.00",806.10
110,KMCDB,666.00,2.00,0.30,664.00,680.50,652.20,"1,952.00",664.00
111,KPCL,391.60,35.60,10.00,363.10,391.60,363.10,"72,097.00",356.00
112,KRBL,326.00,-8.00,-2.40,334.00,341.00,321.00,"23,859.00",334.00
113,KSBBL,335.00,-1.70,-0.50,341.00,341.00,327.80,"64,340.00",336.70
114,LBBL,410.00,2.00,0.49,415.00,415.00,400.00,"51,896.00",408.00
115,LEC,181.00,-8.00,-4.23,189.00,194.00,178.00,"160,514.00",189.00
116,LEMF,8.94,-0.10,-1.11,9.10,9.10,8.94,"48,449.00",9.04
117,LICN,"1,495.00",12.00,0.81,"1,456.00","1,572.80","1,451.00","13,745.00","1,483.00"
118,LLBS,724.00,-5.00,-0.69,730.00,738.00,711.00,"5,219.00",729.00
119,LSL,196.60,-3.40,-1.70,199.00,200.10,196.50,"76,205.00",200.00
120,LUK,8.95,0.25,2.87,8.60,9.00,8.60,"37,946.00",8.70
121,LVF2,8.16,0.21,2.64,7.95,8.16,7.94,"5,620.00",7.95
122,MAKAR,295.00,-5.00,-1.67,301.00,312.00,295.00,"36,314.00",300.00
123,MANDU,687.00,36.00,5.53,651.00,716.10,642.10,"69,213.00",651.00
124,MBJC,303.00,0.00,0.00,297.00,315.10,285.70,"62,534.00",303.00
125,MBL,203.90,-5.20,-2.49,210.00,210.10,203.90,"85,135.00",209.10
126,MCHL,312.00,15.20,5.12,290.90,322.00,279.50,"48,031.00",296.80
127,MDB,393.40,-10.60,-2.62,406.00,406.00,393.00,"10,239.00",404.00
128,MEHL,246.00,-7.50,-2.96,250.00,266.20,246.00,"49,397.00",253.50
129,MEL,204.00,0.00,0.00,200.00,212.00,199.10,"115,113.00",204.00
130,MEN,595.30,-18.70,-3.05,610.00,636.00,595.30,"140,748.00",614.00
131,MERO,581.00,-31.00,-5.07,599.80,599.80,580.00,"13,322.00",612.00
132,MFIL,559.00,3.90,0.70,553.10,565.00,553.00,"66,160.00",555.10
133,MHCL,393.00,11.30,2.96,377.00,393.00,348.00,"167,582.00",381.70
134,MHL,390.30,-27.70,-6.63,409.70,409.70,389.00,"30,755.00",418.00
135,MHNL,225.00,-13.40,-5.62,235.10,245.00,223.50,"33,613.00",238.40
